"","Name","Year","Acre_feet","irrig_temp","irrig_prcp","AF_used","class1_urban","et","lt","d.et","d.urb","d.use","d.prcp","d.temp","d.Acre_feet","scale_d.use","scale_d.urb","scale_d.prcp","scale_d.temp","scale_d.et"
"1","Andrews",1988,3208.271828,26.01532085,82.93670116,0,0.900765651,0.797447071,8.07348769981061,0.006932783,0.030025522,0,-1.29535887,-1.6839842,-3469.495568,0.004742152585902,-0.108748943767277,-0.0461329444934915,-0.66875662402068,0.0270581853776137
"2","Andrews",1989,3554.388325,26.16500165,103.8085255,0,0.930791172,0.620083482,8.17593826695504,-0.177363589,0.030025521,0,20.87182434,0.149680800000002,346.116497,0.004742152585902,-0.108748944020792,0.138808636053318,0.0929628417501624,-0.92196887745145
"3","Andrews",1990,3642.65299,26.41370957,136.1841939,0,0.945803933,0.857457367,8.20046753856001,0.237373885,0.015012761,0,32.3756684,0.248707920000001,88.2646650000002,0.004742152585902,-0.112554897458945,0.234785607176137,0.134099518811253,1.21370575642233
"4","Andrews",1991,5992.079872,25.85185407,142.9972694,13,0.960816694,0.821943085,8.69819385488124,-0.035514282,0.015012761,13,6.8130755,-0.5618555,2349.426882,0.00531526643776576,-0.112554897458945,0.0215160054854747,-0.202615167489564,-0.191521339468726
"5","Andrews",1992,3869.76095,27.39048237,90.97712001,0,0.975829455,0.892358335,8.26094801409014,0.0704152499999999,0.0150127609999999,-13,-52.02014939,1.5386283,-2122.318922,0.00416903873403825,-0.112554897458945,-0.469331636127105,0.669943014073756,0.353958701889967
"6","Andrews",1993,3542.289124,24.48707668,153.7025993,0,0.960816694,0.759521542,8.17252844234064,-0.132836793,-0.0150127609999999,0,62.72547929,-2.90340569,-327.471826,0.004742152585902,-0.120166804842279,0.487995135067857,-1.17531430272005,-0.692679857996042
"7","Andrews",1994,5577.533465,27.35918677,103.1134423,0,0.960816694,0.898363128,8.62650192628869,0.138841586,0,0,-50.589157,2.87211009,2035.244341,0.004742152585902,-0.116360851150612,-0.457392816844118,1.2238822759858,0.706317481227385
"8","Andrews",1995,5684.641149,25.19302955,148.9065061,0,0.945803933,0.822578458,8.64552328176489,-0.07578467,-0.015012761,0,45.7930638,-2.16615722,107.107684,0.004742152585902,-0.12016680484228,0.346727403686308,-0.869055247380734,-0.398892150016352
"9","Andrews",1996,5694.756875,25.86912652,127.2882902,0,0.900765651,0.798022723,8.64730118401302,-0.024555735,-0.045038282,0,-21.6182159,0.67609697,10.115726,0.004742152585902,-0.1277787119721,-0.215687247570641,0.311640432141826,-0.135090724153715
"10","Andrews",1997,4013.562933,24.96653379,132.5436489,0,0.900765651,0.962381917,8.29743463777759,0.164359194,0,0,5.25535869999999,-0.902592729999999,-1681.193942,0.004742152585902,-0.116360851150612,0.00851992004209016,-0.344160204780364,0.837719419897471
"11","Andrews",1998,4412.439882,25.20316512,203.3210502,0,0.945803933,0.925735924,8.39218307667282,-0.0366459929999999,0.045038282,0,70.7774013,0.236631330000002,398.876949,0.004742152585902,-0.104942990329125,0.555172600461713,0.12908280437152,-0.197349041634786
"12","Andrews",1999,4077.827543,25.88320938,47.94792891,0,0.975829455,0.804360823,8.31331966063742,-0.121375101,0.030025522,0,-155.37312129,0.680044259999999,-334.612339,0.004742152585902,-0.108748943767277,-1.33160907554364,0.313280168751317,-0.633658316900207
"13","Andrews",2000,3403.842525,25.68854831,145.0393631,0,1.020867738,0.935133743,8.13266022687228,0.13077292,0.045038283,0,97.09143419,-0.194661069999999,-673.985018,0.004742152585902,-0.10494299007561,0.774711492125763,-0.0500795925325081,0.664768196714455
"14","Andrews",2001,4462.820163,26.82390216,69.27143427,0,1.155982585,0.852149707,8.40353616872441,-0.0829840359999999,0.135114847,0,-75.76792883,1.13535385,1058.977638,0.004742152585902,-0.0821072684326348,-0.667460185997588,0.502419503174529,-0.43596500769155
"15","Andrews",2002,4843.250788,26.38296983,42.49910498,0,1.216033629,0.836517082,8.48534142466771,-0.0156326250000001,0.0600510439999999,0,-26.77232929,-0.440932329999999,380.430625,0.004742152585902,-0.101137036383943,-0.258688194855367,-0.152382691845584,-0.0891415132023427
"16","Andrews",2003,4548.109615,27.48929687,93.48240985,0,1.24605915,0.851713845,8.42246695638297,0.0151967630000001,0.030025521,0,50.98330487,1.10632704,-295.141173,0.004742152585902,-0.108748944020792,0.390029765461878,0.490361528459284,0.0696132318040196
"17","Andrews",2004,4443.382101,26.41923777,152.3750833,0,1.231046389,0.82461322,8.39917109991328,-0.027100625,-0.0150127609999999,0,58.89267345,-1.0700591,-104.727514,0.004742152585902,-0.120166804842279,0.456017902630907,-0.413727107072214,-0.148195537100999
"18","Andrews",2005,4896.209587,25.80947175,160.0523349,0,1.231046389,0.878470467,8.49621663107822,0.0538572469999999,0,0,7.67725160000001,-0.609766019999999,452.827486,0.004742152585902,-0.116360851150612,0.0287258567458135,-0.222517590069044,0.26869390376684
"19","Andrews",2006,3866.785736,26.72844153,120.9732015,0,1.231046389,0.90774811,8.26017888174533,0.029277643,0,0,-39.0791334,0.918969780000001,-1029.423851,0.004742152585902,-0.116360851150612,-0.36136428960414,0.412531787478523,0.142122180533886
"20","Andrews",2007,5110.424955,27.0344218,104.8217384,0,1.276084672,0.903043672,8.53903784118817,-0.00470443799999998,0.045038283,0,-16.1514631,0.305980269999999,1243.639219,0.004742152585902,-0.10494299007561,-0.170077938813965,0.157890922282137,-0.0328672355369264
